Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
P06280,1.0,5.0,9.0,7.0,,1.0,,,,,,5
Q15493,3.0,5.0,8.0,15.0,,,,,,,,4
Q8WUJ3,15.0,22.0,37.0,32.0,8.0,13.0,,2.0,,,,7
O43736,1.0,3.0,5.0,2.0,,,,,,,,4
O14964,2.0,2.0,,,,,,,,,,2
Q8WUG5,1.0,,,1.0,,,,,,,,2
Q15459,7.0,9.0,3.0,5.0,2.0,,,,,,,5
Q6UXX9,1.0,,,,1.0,,,,,,,2
P06213,4.0,3.0,7.0,,2.0,,,,,,,4
Q9P2F8,1.0,,,,1.0,,,,,,,2
Q15417,2.0,,2.0,,,,,,,,,2
O00592,3.0,2.0,2.0,,1.0,2.0,,,,,,5
O00587,1.0,,3.0,,,,,,,,,2
B5MCN3,1.0,,,,,,,,,,,1
P36980,9.0,12.0,11.0,25.0,9.0,6.0,3.0,2.0,,4.0,,9
O00567,2.0,,,,1.0,,,,,,,2
O00560,2.0,2.0,5.0,5.0,,7.0,,3.0,,,,6
Q8N8N7,1.0,3.0,2.0,,,,,,,,,3
O00555,2.0,4.0,,,,,,,,,,2
Q9P2K9,3.0,3.0,2.0,1.0,1.0,2.0,,,,,,6
P53004,2.0,,6.0,1.0,,,,,,,,3
P36957,5.0,5.0,2.0,3.0,3.0,,,,,,,5
P36955,36.0,36.0,37.0,58.0,27.0,118.0,17.0,21.0,9.0,62.0,14.0,11
Q6UY14,5.0,5.0,7.0,2.0,3.0,,,,,,,5
O00548,4.0,4.0,2.0,1.0,,,,,,,,4
P36941,2.0,2.0,,,3.0,,,,,,,3
O00533,53.0,70.0,54.0,84.0,39.0,121.0,23.0,38.0,28.0,62.0,11.0,11
Q8IZU9,2.0,5.0,2.0,2.0,1.0,,,,,,,5
Q6UXN8,1.0,,2.0,,,,,,,,,2
Q6UXM1,2.0,2.0,3.0,,,,,,,,,3
Q8IZS8,11.0,12.0,28.0,28.0,1.0,14.0,,6.0,,,,7
Q05193,5.0,4.0,4.0,5.0,2.0,,,,,,,5
Q99698,1.0,,,,,,2.0,,,,,2
Q6UXK5,12.0,11.0,18.0,11.0,4.0,9.0,,1.0,,,,7
Q6UXK2,10.0,12.0,14.0,8.0,7.0,,2.0,,,,,6
Q53EL9,19.0,25.0,22.0,28.0,11.0,24.0,4.0,3.0,8.0,16.0,,10
P51888,10.0,13.0,18.0,15.0,8.0,6.0,1.0,3.0,4.0,12.0,,10
Q8IZP7,13.0,18.0,20.0,19.0,9.0,15.0,,2.0,,6.0,,8
Q99674,15.0,20.0,12.0,12.0,11.0,18.0,6.0,3.0,4.0,4.0,,10
Q6UXI9,5.0,6.0,8.0,4.0,4.0,,,,,,,5
Q6UXI7,5.0,8.0,7.0,2.0,1.0,,,,,,,5
Q92932,31.0,39.0,18.0,21.0,23.0,23.0,7.0,,5.0,6.0,,9
P16403,11.0,14.0,,1.0,9.0,4.0,,,,,,5
P16402,9.0,14.0,,,9.0,5.0,1.0,,,,,5
P16401,11.0,13.0,,1.0,8.0,,,,,,,4
Q99650,5.0,6.0,7.0,10.0,3.0,3.0,,,,,,6
P63244,1.0,,,,,,,,,,,1
P63241,6.0,2.0,,,3.0,,,,,,,3
Q6UXF1,1.0,,,,1.0,2.0,,,,,,3
Q92901,1.0,,,,1.0,,,,,,,2
Q99623,1.0,,,,,,,,,,,1
Q6UXD5,15.0,22.0,17.0,21.0,10.0,25.0,6.0,11.0,5.0,10.0,3.0,11
Q99614,2.0,,,,1.0,,,,,,,2
Q8IZJ1,3.0,4.0,4.0,6.0,1.0,2.0,,,,,,6
P31350,1.0,,,,1.0,,,,,,,2
P58546,2.0,2.0,2.0,2.0,1.0,,,,,,,5
