No.	UniProtKB ID	Entry Name	Organism	Gene Name
158	P16422	EPCAM_HUMAN	Homo sapiens (Human)	EPCAM
159	P29317	EPHA2_HUMAN	Homo sapiens (Human)	EPHA2
160	P54762	EPHB1_HUMAN	Homo sapiens (Human)	EPHB1
161	P54760	EPHB4_HUMAN	Homo sapiens (Human)	EPHB4
162	P04626	ERBB2_HUMAN	Homo sapiens (Human)	ERBB2
163	Q15303	ERBB4_HUMAN	Homo sapiens (Human)	ERBB4
164	O14944	EREG_HUMAN	Homo sapiens (Human)	EREG
165	P52801	EFNA2_MOUSE	Mus musculus (Mouse)	Efna2
166	O08543	EFNA5_MOUSE	Mus musculus (Mouse)	Efna5
167	P01132	EGF_MOUSE	Mus musculus (Mouse)	Egf
168	Q924X1	EPGN_MOUSE	Mus musculus (Mouse)	Epgn
169	Q03137	EPHA4_MOUSE	Mus musculus (Mouse)	Epha4
170	Q61772	EPHA7_MOUSE	Mus musculus (Mouse)	Epha7
171	P54763	EPHB2_MOUSE	Mus musculus (Mouse)	Ephb2
172	Q61521	EREG_MOUSE	Mus musculus (Mouse)	Ereg
173	Q9Y624	JAM1_HUMAN	Homo sapiens (Human)	F11R
174	P25116	PAR1_HUMAN	Homo sapiens (Human)	F2R
175	P55085	PAR2_HUMAN	Homo sapiens (Human)	F2RL1
176	P25445	TNR6_HUMAN	Homo sapiens (Human)	FAS
177	P48023	TNFL6_HUMAN	Homo sapiens (Human)	FASLG
178	Q14517	FAT1_HUMAN	Homo sapiens (Human)	FAT1
179	P24071	FCAR_HUMAN	Homo sapiens (Human)	FCAR
180	P06734	FCER2_HUMAN	Homo sapiens (Human)	FCER2
181	P12318	FCG2A_HUMAN	Homo sapiens (Human)	FCGR2A
182	P08637	FCG3A_HUMAN	Homo sapiens (Human)	FCGR3A
183	O75015	FCG3B_HUMAN	Homo sapiens (Human)	FCGR3B
184	P11362	FGFR1_HUMAN	Homo sapiens (Human)	FGFR1
185	P21802	FGFR2_HUMAN	Homo sapiens (Human)	FGFR2
186	Q8N441	FGRL1_HUMAN	Homo sapiens (Human)	FGFRL1
187	Q9NZU1	FLRT1_HUMAN	Homo sapiens (Human)	FLRT1
188	O43155	FLRT2_HUMAN	Homo sapiens (Human)	FLRT2
189	Q9NZU0	FLRT3_HUMAN	Homo sapiens (Human)	FLRT3
