Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
PAICS|P22234-2;PAICS;blue;0,6868;0,8848;-0,040
FN3KRP|Q9HA64;FN3KRP;blue;0,6870;0,8848;0,038
CRIP2|P52943-2;CRIP2;turquoise;0,6875;0,8848;0,043
AP3D1|O14617-5;AP3D1;turquoise;0,6875;0,8848;0,027
PTPRU|Q92729;PTPRU;greenyellow;0,6880;0,8850;0,016
MAMDC2|Q7Z304;MAMDC2;NA;0,6888;0,8857;-0,018
CTDSPL|O15194;CTDSPL;NA;0,6896;0,8863;-0,082
CYBB|P04839;CYBB;darkgreen;0,6903;0,8866;-0,047
NMB|P08949-2;NMB;NA;0,6905;0,8866;-0,021
AK1|Q5T9B7;AK1;green;0,6910;0,8869;0,044
CD248|Q9HCU0;CD248;NA;0,6924;0,8883;0,013
KRT4|P19013;KRT4;paleturquoise;0,6933;0,8891;0,135
RPL31|B7Z4C8;RPL31;ivory;0,6937;0,8892;-0,043
SCAMP1|O15126;SCAMP1;turquoise;0,6948;0,8902;-0,019
FGA|P02671;FGA;midnightblue;0,6953;0,8904;-0,051
FGFR3|P22607-2;FGFR3;grey;0,6963;0,8912;0,021
MYL1|P05976;MYL1;NA;0,6965;0,8912;0,041
PDPN|Q86YL7-3;PDPN;NA;0,6976;0,8917;-0,026
C10orf128|Q5T292-2;C10orf128;NA;0,6992;0,8917;-0,034
SIRPB2|Q5JXA9;SIRPB2;NA;0,6996;0,8917;0,036
TAGLN2|P37802-2;TAGLN2;red;0,7001;0,8917;-0,020
FZD8|Q9H461;FZD8;NA;0,7001;0,8917;-0,020
SEPP1|P49908;SEPP1;NA;0,7004;0,8917;-0,015
IGHA2|A0A075B6N7;IGHA2;midnightblue;0,7008;0,8917;-0,071
CLIC6|Q96NY7;CLIC6;red;0,7008;0,8917;0,033
NEB|A0A087X1N7;NEB;sienna3;0,7010;0,8917;0,027
COL6A2|P12110-2;COL6A2;red;0,7015;0,8917;0,020
MAN2B2|Q9Y2E5;MAN2B2;grey;0,7018;0,8917;-0,030
SRI|P30626;SRI;saddlebrown;0,7019;0,8917;-0,050
TCN1|P20061;TCN1;NA;0,7019;0,8917;0,050
FOLR2|P14207;FOLR2;red;0,7025;0,8917;0,021
POMK|Q9H5K3;POMK;brown;0,7026;0,8917;-0,022
THBS2|P35442;THBS2;NA;0,7026;0,8917;-0,016
CLPX|O76031;CLPX;grey;0,7027;0,8917;-0,047
PFKM|P08237-3;PFKM;turquoise;0,7027;0,8917;-0,038
SH3GL2|Q99962;SH3GL2;brown;0,7029;0,8917;-0,032
SHISA7|A6NL88;SHISA7;turquoise;0,7031;0,8917;0,020
PCDH19|Q8TAB3;PCDH19;turquoise;0,7036;0,8917;0,026
GLB1|P16278;GLB1;greenyellow;0,7038;0,8917;-0,025
LGI3|Q8N145;LGI3;yellow;0,7043;0,8917;-0,022
GSDMA|Q96QA5;GSDMA;NA;0,7044;0,8917;0,045
LRP2|P98164;LRP2;yellow;0,7047;0,8917;0,016
CD86|H7C4F8;CD86;NA;0,7059;0,8928;-0,032
RPS18|P62269;RPS18;skyblue3;0,7062;0,8929;-0,049
PCBP1|Q15365;PCBP1;yellow;0,7069;0,8933;-0,033
TMOD2|Q9NZR1;TMOD2;lightsteelblue1;0,7073;0,8935;-0,058
STMN3|Q9NZ72;STMN3;tan;0,7080;0,8939;-0,022
SPINT1|O43278;SPINT1;NA;0,7086;0,8942;0,018
TTC26|A0AVF1;TTC26;NA;0,7088;0,8942;-0,017
PGLYRP1|O75594;PGLYRP1;NA;0,7094;0,8943;0,029
ATP5G2|Q06055-2;ATP5G2;green;0,7096;0,8943;-0,052
GINS3|Q9BRX5-3;GINS3;NA;0,7128;0,8980;0,051
C7|P10643;C7;red;0,7134;0,8984;-0,033
NRCAM|Q92823-5;NRCAM;brown;0,7140;0,8985;-0,017
CRKL|P46109;CRKL;grey;0,7144;0,8985;-0,038
TXNDC5|Q8NBS9;TXNDC5;saddlebrown;0,7148;0,8985;-0,017
0|P01625;0;NA;0,7149;0,8985;-0,042
FABP5|Q01469;FABP5;green;0,7150;0,8985;0,027
MSLN|Q13421-2;MSLN;NA;0,7155;0,8987;0,053
CAT|P04040;CAT;red;0,7163;0,8987;-0,071
DSCAM|O60469;DSCAM;NA;0,7167;0,8987;-0,019
ARSA|A0A0C4DFZ2;ARSA;darkred;0,7167;0,8987;0,026
DPEP2|Q9H4A9;DPEP2;NA;0,7169;0,8987;-0,031
MYL6|B7Z6Z4;MYL6;red;0,7172;0,8987;-0,030
NETO2|Q8NC67;NETO2;NA;0,7174;0,8987;-0,030
LY6D|Q14210;LY6D;NA;0,7178;0,8988;0,038
LRIG1|Q96JA1;LRIG1;pink;0,7186;0,8988;0,017
AAMDC|E9PNP3;AAMDC;blue;0,7188;0,8988;0,023
CCDC126|Q96EE4;CCDC126;NA;0,7191;0,8988;0,039
TGFBR2|P37173;TGFBR2;NA;0,7191;0,8988;-0,017
PPIF|P30405;PPIF;blue;0,7194;0,8988;-0,030
CHRDL1|Q9BU40-4;CHRDL1;NA;0,7196;0,8988;-0,015
CNTNAP3|Q9BZ76;CNTNAP3;NA;0,7206;0,8995;-0,026
PECAM1|P16284;PECAM1;darkgreen;0,7210;0,8996;0,011
PVALB|P20472;PVALB;grey;0,7212;0,8996;0,039
CLN5|A0A024R644;CLN5;NA;0,7224;0,8999;-0,026
ERLIN2|O94905;ERLIN2;blue;0,7228;0,8999;0,023
TUBB4B|P68371;TUBB4B;purple;0,7229;0,8999;-0,029
ERICH3|Q5RHP9;ERICH3;grey;0,7231;0,8999;0,022
PARP1|P09874;PARP1;blue;0,7231;0,8999;-0,061
LAMB2|P55268;LAMB2;red;0,7234;0,8999;-0,010
TMEM248|Q9NWD8;TMEM248;NA;0,7238;0,8999;0,023
RPL11|P62913;RPL11;greenyellow;0,7240;0,8999;-0,042
EHBP1L1|Q8N3D4;EHBP1L1;red;0,7248;0,9004;-0,033
CHST1|O43916;CHST1;grey;0,7251;0,9004;-0,034
ENO3|P13929;ENO3;skyblue3;0,7258;0,9004;-0,030
TGM1|P22735;TGM1;NA;0,7258;0,9004;0,034
GLUL|P15104;GLUL;brown;0,7260;0,9004;-0,021
CNDP2|Q96KP4;CNDP2;blue;0,7271;0,9014;-0,036
CACNA2D2|Q9NY47;CACNA2D2;brown;0,7279;0,9021;-0,013
COL1A1|P02452;COL1A1;red;0,7286;0,9025;-0,013
C6orf120|Q7Z4R8;C6orf120;NA;0,7296;0,9032;0,019
TNFSF12|O43508;TNFSF12;NA;0,7298;0,9032;0,016
AKAP5|P24588;AKAP5;turquoise;0,7319;0,9049;-0,033
CD55|P08174-7;CD55;yellow;0,7323;0,9049;-0,011
TNN|A0A0A6YY94;TNN;NA;0,7326;0,9049;-0,036
RNH1|P13489;RNH1;blue;0,7326;0,9049;-0,027
GALNT16|Q8N428;GALNT16;yellow;0,7332;0,9049;-0,018
TUBA4A|P68366;TUBA4A;purple;0,7333;0,9049;-0,029
MMP14|P50281;MMP14;NA;0,7334;0,9049;0,023
ITGA6|P23229;ITGA6;saddlebrown;0,7347;0,9052;-0,015
DCD|P81605;DCD;floralwhite;0,7348;0,9052;0,047
SERPINE1|P05121;SERPINE1;NA;0,7348;0,9052;0,021
CD320|M0R100;CD320;NA;0,7352;0,9052;-0,022
REEP5|Q00765;REEP5;yellowgreen;0,7355;0,9052;-0,029
DBH|P09172;DBH;NA;0,7363;0,9052;0,047
CA1|P00915;CA1;midnightblue;0,7364;0,9052;-0,088
ADAM15|Q13444;ADAM15;NA;0,7368;0,9052;0,011
SERPINA3|P01011;SERPINA3;midnightblue;0,7369;0,9052;-0,032
RFTN1|Q14699;RFTN1;turquoise;0,7371;0,9052;-0,029
CBLN4|Q9NTU7;CBLN4;turquoise;0,7373;0,9052;-0,026
SRSF8|Q9BRL6;SRSF8;steelblue;0,7374;0,9052;-0,027
CSGALNACT1|Q8TDX6;CSGALNACT1;NA;0,7390;0,9068;-0,015
LRRTM1|Q86UE6;LRRTM1;turquoise;0,7393;0,9068;-0,047
GALC|A0A0A0MQV0;GALC;cyan;0,7398;0,9069;-0,021
RARRES2|Q99969;RARRES2;red;0,7401;0,9069;-0,026
ITM2B|Q9Y287;ITM2B;salmon;0,7406;0,9070;-0,018
ADAMTS5|Q9UNA0;ADAMTS5;NA;0,7409;0,9070;-0,023
CELSR2|Q9HCU4;CELSR2;turquoise;0,7413;0,9070;0,013
NT5C|Q8TCD5;NT5C;green;0,7413;0,9070;-0,023
CRYZ|Q08257;CRYZ;midnightblue;0,7421;0,9073;0,029
PPIC|P45877;PPIC;NA;0,7422;0,9073;0,028
KLK6|Q92876;KLK6;blue;0,7435;0,9085;0,009
LILRB4|A0A0A0MS20;LILRB4;NA;0,7443;0,9089;0,015
VEGFA|A2A2V4;VEGFA;NA;0,7445;0,9089;0,017
HSPA2|P54652;HSPA2;yellow;0,7454;0,9093;-0,021
GPR133|Q6QNK2-4;GPR133;NA;0,7455;0,9093;0,013
PCDHGA9|Q9Y5G4;PCDHGA9;skyblue;0,7477;0,9116;-0,016
RGMB|J3KNF6;RGMB;lightyellow;0,7480;0,9116;-0,022
ADAMTS3|O15072;ADAMTS3;NA;0,7486;0,9119;0,022
TPM2|P07951;TPM2;red;0,7496;0,9128;-0,034
SCN1B|Q07699-2;SCN1B;turquoise;0,7504;0,9133;0,017
RPUSD3|Q6P087;RPUSD3;NA;0,7506;0,9133;-0,030
GLG1|Q92896-2;GLG1;magenta;0,7513;0,9137;0,012
SIAE|Q9HAT2;SIAE;red;0,7525;0,9138;-0,024
LUZP2|Q86TE4;LUZP2;NA;0,7530;0,9138;-0,014
SFTPD|P35247;SFTPD;NA;0,7531;0,9138;0,053
FAM3A|D3DWX8;FAM3A;NA;0,7532;0,9138;-0,017
0|P80748;0;NA;0,7534;0,9138;-0,047
GJA1|P17302;GJA1;lightgreen;0,7534;0,9138;0,019
CD58|P19256;CD58;skyblue;0,7539;0,9138;-0,009
CCT5|P48643;CCT5;purple;0,7541;0,9138;-0,025
ANGPT2|O15123;ANGPT2;NA;0,7546;0,9138;0,020
APEX1|P27695;APEX1;blue;0,7547;0,9138;0,037
GPC6|Q9Y625;GPC6;grey;0,7549;0,9138;0,015
0|P01598;0;NA;0,7553;0,9139;-0,036
NAGLU|P54802;NAGLU;NA;0,7559;0,9141;-0,029
FAM171B|Q6P995;FAM171B;turquoise;0,7561;0,9141;0,050
SEMA4D|Q92854;SEMA4D;turquoise;0,7572;0,9151;-0,010
SYT11|Q9BT88;SYT11;yellow;0,7580;0,9156;-0,016
IGLC2|A0A075B6K9;IGLC2;midnightblue;0,7598;0,9175;-0,047
UFC1|Q9Y3C8;UFC1;green;0,7605;0,9180;-0,013
TCEB2|Q15370-2;TCEB2;brown;0,7624;0,9197;-0,027
GAL3ST4|Q96RP7;GAL3ST4;NA;0,7629;0,9197;-0,017
STXBP1|P61764-2;STXBP1;turquoise;0,7630;0,9197;-0,029
IGFBP2|P18065;IGFBP2;lightyellow;0,7633;0,9197;0,022
CNTNAP2|Q9UHC6;CNTNAP2;brown;0,7638;0,9200;0,015
MDGA2|Q7Z553-3;MDGA2;brown;0,7643;0,9200;-0,017
FZD1|Q9UP38;FZD1;NA;0,7645;0,9200;-0,015
FNDC9|Q8TBE3;FNDC9;NA;0,7663;0,9215;0,021
EEF1G|P26641-2;EEF1G;turquoise;0,7666;0,9215;0,021
NUDT5|A6NFX8;NUDT5;blue;0,7667;0,9215;0,019
COL11A1|P12107-2;COL11A1;NA;0,7676;0,9222;0,010
SUSD5|O60279;SUSD5;turquoise;0,7682;0,9226;-0,015
GAPDH|P04406;GAPDH;green;0,7692;0,9234;-0,036
CRLF1|O75462;CRLF1;NA;0,7696;0,9234;-0,016
PSD3|Q9NYI0;PSD3;turquoise;0,7700;0,9235;-0,051
PTPRS|Q13332-2;PTPRS;brown;0,7705;0,9237;0,009
0|P01717;0;NA;0,7712;0,9237;0,024
GLCE|O94923;GLCE;NA;0,7716;0,9237;-0,019
EMILIN3|Q9NT22;EMILIN3;red;0,7720;0,9237;-0,014
CADM3|Q8N126-2;CADM3;turquoise;0,7720;0,9237;-0,012
FAM171A2|A8MVW0;FAM171A2;turquoise;0,7722;0,9237;-0,026
TMEM130|Q8N3G9;TMEM130;NA;0,7727;0,9237;0,020
ADAM23|E7EWD3;ADAM23;darkolivegreen;0,7729;0,9237;0,012
PLA2R1|Q13018;PLA2R1;NA;0,7731;0,9237;-0,021
TUBB2A|Q13885;TUBB2A;purple;0,7736;0,9237;0,036
GORASP2|Q9H8Y8-3;GORASP2;paleturquoise;0,7737;0,9237;0,024
DDR1|Q08345-5;DDR1;cyan;0,7740;0,9238;-0,012
SERP2|H7C5W3;SERP2;NA;0,7763;0,9261;0,023
KIT|P10721;KIT;pink;0,7769;0,9265;-0,013
PTPRC|A0A0A0MT22;PTPRC;darkgreen;0,7782;0,9267;-0,012
FAM177A1|Q8N128-2;FAM177A1;yellow;0,7790;0,9267;-0,032
SORT1|Q99523;SORT1;yellow;0,7792;0,9267;0,016
LRP8|Q14114;LRP8;NA;0,7792;0,9267;-0,008
HHIP|Q96QV1;HHIP;NA;0,7797;0,9267;0,021
CHL1|A0A087X0M8;CHL1;grey;0,7798;0,9267;0,015
CLTA|P09496;CLTA;brown;0,7803;0,9267;-0,019
ST6GALNAC5|Q9BVH7;ST6GALNAC5;NA;0,7806;0,9267;-0,024
CDH13|P55290-4;CDH13;turquoise;0,7806;0,9267;0,019
TUBB3|Q13509;TUBB3;purple;0,7809;0,9267;-0,043
TGFBR3|Q03167;TGFBR3;mediumpurple3;0,7809;0,9267;-0,013
NSFL1C|Q9UNZ2-5;NSFL1C;darkred;0,7810;0,9267;0,036
DYNC1H1|Q14204;DYNC1H1;salmon;0,7816;0,9270;0,046
C1QC|P02747;C1QC;steelblue;0,7829;0,9282;0,013
CA2|P00918;CA2;blue;0,7837;0,9287;-0,070
PGD|P52209;PGD;blue;0,7840;0,9287;0,035
AAK1|Q2M2I8;AAK1;turquoise;0,7848;0,9291;0,019
PRRG1|O14668;PRRG1;NA;0,7850;0,9291;0,032
FH|P07954;FH;brown;0,7853;0,9291;0,026
SCUBE2|Q9NQ36;SCUBE2;NA;0,7864;0,9295;-0,016
OPCML|Q14982-4;OPCML;turquoise;0,7869;0,9295;-0,013
CMPK1|P30085;CMPK1;yellow;0,7869;0,9295;0,033
MFSD6|Q6ZSS7;MFSD6;lightcyan1;0,7869;0,9295;0,014
SIRPA|P78324-2;SIRPA;turquoise;0,7875;0,9298;0,028
RNF149|Q8NC42;RNF149;NA;0,7878;0,9298;0,021
UNC5A|Q6ZN44;UNC5A;turquoise;0,7888;0,9306;0,017
TF|P02787;TF;yellow;0,7892;0,9307;-0,018
SRGN|P10124;SRGN;NA;0,7897;0,9308;-0,021
EPHB6|O15197;EPHB6;turquoise;0,7902;0,9310;-0,024
NTRK2|Q16620-4;NTRK2;turquoise;0,7908;0,9313;-0,011
RPL10A|P62906;RPL10A;black;0,7912;0,9313;-0,024
NXPH1|P58417;NXPH1;NA;0,7914;0,9313;-0,020
GPR180|Q86V85;GPR180;darkorange;0,7927;0,9319;-0,017
LGALS7|P47929;LGALS7;NA;0,7930;0,9319;-0,027
HLA-DQB1|P01920;HLA-DQB1;NA;0,7930;0,9319;0,035
ADAMTSL2|B1B0D4;ADAMTSL2;NA;0,7933;0,9319;0,013
LIPA|P38571;LIPA;blue;0,7935;0,9319;-0,033
PCDHGA4|A0A087WT05;PCDHGA4;cyan;0,7954;0,9336;0,035
RPL27|K7ELC7;RPL27;turquoise;0,7956;0,9336;0,023
0|P01767;0;NA;0,7959;0,9336;-0,043
LECT2|O14960;LECT2;NA;0,7963;0,9336;-0,048
HSPA9|P38646;HSPA9;brown;0,7969;0,9338;-0,026
CAPZA2|P47755;CAPZA2;brown;0,7970;0,9338;0,011
GNB2|P62879;GNB2;black;0,7979;0,9343;0,026
DPYSL2|Q16555;DPYSL2;darkolivegreen;0,7985;0,9348;0,019
RPL19|P84098;RPL19;red;0,7998;0,9358;-0,037
LINGO2|Q7L985;LINGO2;grey;0,8003;0,9361;0,018
PTN|P21246;PTN;darkgreen;0,8008;0,9363;0,022
BLVRB|P30043;BLVRB;saddlebrown;0,8021;0,9371;-0,053
APITD1|Q8N2Z9-2;APITD1;NA;0,8022;0,9371;-0,028
ARF3|P61204;ARF3;brown;0,8026;0,9372;-0,017
LAMA3|A0A087WV15;LAMA3;NA;0,8037;0,9381;-0,015
DSCAML1|Q8TD84;DSCAML1;NA;0,8057;0,9389;-0,010
GABRA1|P14867;GABRA1;turquoise;0,8059;0,9389;-0,037
TPM3|J3KN67;TPM3;lightgreen;0,8061;0,9389;-0,020
RPS3A|P61247;RPS3A;black;0,8063;0,9389;-0,023
PRDX2|P32119;PRDX2;midnightblue;0,8065;0,9389;-0,033
MASP1|P48740;MASP1;NA;0,8067;0,9389;-0,021
SRSF1|J3KTL2;SRSF1;lightcyan;0,8070;0,9389;0,016
SYN2|A0A087WW96;SYN2;orange;0,8070;0,9389;0,041
GGT5|P36269-3;GGT5;cyan;0,8073;0,9389;0,013
NRP1|O14786;NRP1;turquoise;0,8081;0,9395;-0,006
SERPINE2|P07093-3;SERPINE2;black;0,8094;0,9405;-0,014
ESD|P10768;ESD;blue;0,8097;0,9405;-0,022
SLIT1|O75093;SLIT1;grey60;0,8099;0,9405;-0,025
GMPR|P36959;GMPR;green;0,8104;0,9406;0,037
PFN2|P35080;PFN2;brown;0,8119;0,9418;0,017
DNASE2|O00115;DNASE2;NA;0,8121;0,9418;0,017
CLSTN3|Q9BQT9-2;CLSTN3;grey60;0,8130;0,9420;-0,006
COL15A1|P39059;COL15A1;NA;0,8133;0,9420;-0,015
PLXNA1|Q9UIW2;PLXNA1;turquoise;0,8134;0,9420;-0,011
SCARB2|Q14108;SCARB2;yellow;0,8136;0,9420;0,011
VWC2L|B2RUY7;VWC2L;brown;0,8150;0,9425;0,016
HMGN2|P05204;HMGN2;blue;0,8152;0,9425;-0,034
SLC1A3|P43003;SLC1A3;lightyellow;0,8153;0,9425;0,019
PTPRG|P23470;PTPRG;turquoise;0,8154;0,9425;0,008
FLOT2|E7EMK3;FLOT2;turquoise;0,8157;0,9425;0,020
PRSS3P2|A0A096LP77;PRSS3P2;NA;0,8167;0,9430;-0,029
CALML5|Q9NZT1;CALML5;NA;0,8169;0,9430;-0,033
TINAGL1|Q9GZM7;TINAGL1;red;0,8170;0,9430;0,009
DPT|Q07507;DPT;NA;0,8176;0,9433;0,015
MATN3|O15232;MATN3;NA;0,8189;0,9440;-0,013
S1PR1|P21453;S1PR1;grey;0,8195;0,9440;-0,016
GC|D6RF20;GC;midnightblue;0,8195;0,9440;-0,023
GPNMB|Q14956;GPNMB;lightgreen;0,8195;0,9440;-0,018
SEMA3D|O95025;SEMA3D;NA;0,8205;0,9445;-0,012
FLNC|Q14315;FLNC;green;0,8207;0,9445;0,010
EFNB3|Q15768;EFNB3;grey;0,8214;0,9450;0,008
LIFR|P42702;LIFR;NA;0,8220;0,9450;0,005
CLSTN1|O94985-2;CLSTN1;brown;0,8223;0,9450;-0,016
PCDH9|Q9HC56;PCDH9;blue;0,8224;0,9450;-0,012
MYBPC2|Q14324;MYBPC2;NA;0,8234;0,9457;0,022
SYT3|Q9BQG1;SYT3;turquoise;0,8240;0,9457;0,011
LAYN|Q6UX15-2;LAYN;NA;0,8240;0,9457;-0,016
SPINK2|D6RI10;SPINK2;NA;0,8248;0,9462;0,037
FZD3|Q9NPG1;FZD3;NA;0,8255;0,9467;-0,026
IGKV1-8|A0A087WWV8;IGKV1-8;NA;0,8278;0,9486;0,044
XYLT1|Q86Y38;XYLT1;NA;0,8279;0,9486;0,011
ADAM10|O14672;ADAM10;yellow;0,8294;0,9490;0,007
ILDR2|Q71H61;ILDR2;turquoise;0,8297;0,9490;-0,016
SMPD1|P17405;SMPD1;yellow;0,8302;0,9490;-0,013
ADIPOQ|Q15848;ADIPOQ;NA;0,8308;0,9490;-0,024
EPHB2|P29323;EPHB2;orangered4;0,8309;0,9490;-0,009
NGFR|P08138;NGFR;NA;0,8310;0,9490;-0,012
PTPRF|H0Y4H1;PTPRF;turquoise;0,8312;0,9490;0,020
PCDHGC5|Q9Y5F6;PCDHGC5;black;0,8316;0,9490;0,013
TMEM165|Q9HC07;TMEM165;NA;0,8317;0,9490;-0,006
SMPDL3B|Q92485;SMPDL3B;NA;0,8321;0,9490;0,018
DDRGK1|Q96HY6;DDRGK1;cyan;0,8321;0,9490;-0,009
TNFRSF10C|O14798;TNFRSF10C;NA;0,8325;0,9490;-0,014
OBP2A|Q9NY56;OBP2A;NA;0,8332;0,9490;-0,063
TPM1|P09493-9;TPM1;red;0,8332;0,9490;0,019
NCAM1|A0A087WX77;NCAM1;grey;0,8337;0,9490;0,010
LTF|P02788;LTF;midnightblue;0,8348;0,9490;-0,042
GALNT11|Q8NCW6;GALNT11;NA;0,8351;0,9490;-0,010
DKK3|F6SYF8;DKK3;green;0,8352;0,9490;0,020
C1S|C9IZP8;C1S;midnightblue;0,8353;0,9490;-0,023
TNNC2|P02585;TNNC2;NA;0,8356;0,9490;0,029
FSTL3|O95633-2;FSTL3;NA;0,8361;0,9490;0,012
PTPRD|P23468-2;PTPRD;purple;0,8367;0,9490;-0,008
IGF1|P05019;IGF1;NA;0,8367;0,9490;-0,010
QPCT|Q16769;QPCT;brown;0,8372;0,9490;-0,013
ASPRV1|Q53RT3;ASPRV1;NA;0,8377;0,9490;0,023
MEGF10|Q96KG7;MEGF10;blue;0,8378;0,9490;0,013
OXCT1|P55809;OXCT1;turquoise;0,8379;0,9490;0,017
TOR1AIP1|J3KN66;TOR1AIP1;blue;0,8381;0,9490;-0,007
CEACAM1|P13688;CEACAM1;NA;0,8383;0,9490;-0,014
ADA|P00813;ADA;yellow;0,8386;0,9490;0,012
C1QBP|Q07021;C1QBP;brown;0,8387;0,9490;-0,023
MYDGF|Q969H8;MYDGF;brown;0,8388;0,9490;-0,011
FGFR1|P11362;FGFR1;skyblue;0,8392;0,9491;-0,009
S100A14|Q9HCY8;S100A14;NA;0,8403;0,9500;0,026
IL1R1|P14778;IL1R1;NA;0,8407;0,9500;-0,027
TIMP1|P01033;TIMP1;NA;0,8414;0,9505;-0,010
POSTN|Q15063;POSTN;red;0,8423;0,9510;0,024
IGLON5|A6NGN9;IGLON5;turquoise;0,8429;0,9510;0,005
KCNA2|P16389;KCNA2;salmon;0,8430;0,9510;-0,010
MRC1|P22897;MRC1;red;0,8432;0,9510;-0,010
VCAN|P13611;VCAN;blue;0,8451;0,9529;-0,007
CST7|O76096;CST7;NA;0,8457;0,9531;0,027
CD276|Q5ZPR3;CD276;NA;0,8467;0,9532;-0,006
PI16|Q6UXB8;PI16;blue;0,8470;0,9532;-0,009
FAM19A1|Q7Z5A9;FAM19A1;NA;0,8478;0,9532;0,012
C1orf123|Q9NWV4;C1orf123;darkgrey;0,8479;0,9532;0,016
CTGF|P29279;CTGF;red;0,8480;0,9532;0,010
RPN1|P04843;RPN1;lightyellow;0,8488;0,9532;-0,023
MESDC2|Q14696;MESDC2;green;0,8489;0,9532;0,008
HS6ST2|Q96MM7-4;HS6ST2;NA;0,8489;0,9532;0,012
GSTP1|P09211;GSTP1;green;0,8491;0,9532;0,009
ANXA2|P07355-2;ANXA2;saddlebrown;0,8494;0,9532;-0,015
PSMB8|P28062;PSMB8;green;0,8497;0,9532;-0,011
LAMA4|A0A0A0MQS9;LAMA4;red;0,8497;0,9532;0,009
ACTR2|P61160-2;ACTR2;turquoise;0,8508;0,9539;-0,020
ERBB3|P21860;ERBB3;yellow;0,8512;0,9541;-0,007
INA|Q16352;INA;salmon;0,8524;0,9550;0,020
NXPH4|O95158;NXPH4;NA;0,8531;0,9555;0,014
RPS10|P46783;RPS10;darkmagenta;0,8536;0,9555;0,017
PDGFA|P04085;PDGFA;NA;0,8544;0,9555;-0,016
COX17|Q14061;COX17;grey;0,8545;0,9555;-0,009
CECR1|Q9NZK5;CECR1;NA;0,8548;0,9555;0,013
RHBDF2|Q6PJF5;RHBDF2;NA;0,8554;0,9555;-0,014
METRN|Q9UJH8;METRN;NA;0,8555;0,9555;0,038
0|P01613;0;NA;0,8557;0,9555;-0,024
SMPDL3A|Q92484;SMPDL3A;NA;0,8558;0,9555;-0,017
RAN|J3KQE5;RAN;purple;0,8575;0,9568;0,026
LGALS1|P09382;LGALS1;blue;0,8576;0,9568;-0,008
STX12|Q86Y82;STX12;grey;0,8581;0,9569;-0,012
CADM2|Q8N3J6-3;CADM2;turquoise;0,8589;0,9575;-0,008
PRKAR1A|P10644;PRKAR1A;yellow;0,8592;0,9575;-0,010
CRISP2|P16562-2;CRISP2;NA;0,8596;0,9575;0,021
0|P01766;0;NA;0,8602;0,9578;-0,018
GNB1|P62873;GNB1;grey;0,8608;0,9581;-0,014
ATP1A3|P13637-3;ATP1A3;turquoise;0,8615;0,9585;-0,009
CCDC80|Q76M96-2;CCDC80;NA;0,8633;0,9592;-0,009
CBR1|P16152;CBR1;yellow;0,8633;0,9592;0,007
0|L7N2F9;0;NA;0,8633;0,9592;-0,010
GNS|P15586;GNS;grey;0,8635;0,9592;-0,017
IGLL5|A0A087WX49;IGLL5;midnightblue;0,8639;0,9593;0,026
RCN2|Q14257-2;RCN2;brown;0,8644;0,9595;-0,007
SPTB|P11277-2;SPTB;red;0,8653;0,9601;-0,038
PRKCSH|K7ELL7;PRKCSH;red;0,8656;0,9601;-0,007
IGHV5-51|A0A0C4DH38;IGHV5-51;midnightblue;0,8662;0,9605;0,025
UBE2L3|P68036-3;UBE2L3;yellow;0,8680;0,9614;0,009
TMEM189-UBE2V1|I3L0A0;TMEM189-UBE2V1;grey;0,8680;0,9614;0,012
ORM1|P02763;ORM1;midnightblue;0,8681;0,9614;-0,023
IGKV2D-24|A0A075B6R9;IGKV2D-24;NA;0,8691;0,9622;-0,032
CD99|H7C2F2;CD99;green;0,8696;0,9624;-0,008
USP5|P45974;USP5;darkturquoise;0,8702;0,9626;-0,019
CSMD1|E5RIG2;CSMD1;black;0,8716;0,9626;-0,011
0|P06313;0;NA;0,8717;0,9626;-0,024
EHD1|A0A024R571;EHD1;mediumpurple3;0,8717;0,9626;-0,022
KIAA0319L|Q8IZA0;KIAA0319L;turquoise;0,8725;0,9626;0,005
DNPEP|E7ETB3;DNPEP;pink;0,8726;0,9626;-0,020
TGFBR2|P37173-2;TGFBR2;NA;0,8726;0,9626;-0,008
CEP85|Q6P2H3;CEP85;NA;0,8729;0,9626;-0,086
NCAM2|O15394;NCAM2;grey;0,8732;0,9626;-0,006
PCDHGC3|Q9UN70;PCDHGC3;blue;0,8735;0,9626;0,007
SEZ6L2|Q6UXD5;SEZ6L2;brown;0,8736;0,9626;-0,010
SEZ6L|Q9BYH1;SEZ6L;turquoise;0,8742;0,9626;-0,010
APLP2|Q06481;APLP2;green;0,8745;0,9626;0,007
NPC1|O15118;NPC1;yellow;0,8745;0,9626;0,011
ERAP2|Q6P179;ERAP2;sienna3;0,8752;0,9629;-0,025
BLVRA|P53004;BLVRA;orange;0,8757;0,9629;-0,018
CBLN2|Q8IUK8;CBLN2;brown;0,8759;0,9629;0,010
CRTAC1|Q9NQ79;CRTAC1;grey;0,8764;0,9630;-0,006
A4GALT|Q9NPC4;A4GALT;NA;0,8766;0,9630;-0,011
