Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
EPB41L2|O43491;EPB41L2;blue;3,8E-03;5,6E-02;0,123
SUGT1|Q9Y2Z0;SUGT1;darkolivegreen;3,8E-03;5,6E-02;0,131
FZD7|O75084;FZD7;NA;3,9E-03;5,6E-02;0,267
PRELP|P51888;PRELP;red;3,9E-03;5,7E-02;-0,141
SFRP4|Q6FHJ7;SFRP4;NA;4,0E-03;5,7E-02;-0,234
PENK|P01210;PENK;orange;4,0E-03;5,8E-02;-0,155
NUTF2|P61970;NUTF2;blue;4,2E-03;6,0E-02;0,109
HAGH|Q16775;HAGH;brown;4,2E-03;6,0E-02;0,189
HSPA4L|O95757;HSPA4L;turquoise;4,5E-03;6,4E-02;0,192
SCN2A|Q99250;SCN2A;turquoise;4,6E-03;6,5E-02;0,190
DNAJB1|P25685;DNAJB1;brown;4,8E-03;6,7E-02;0,121
VGF|O15240;VGF;turquoise;4,8E-03;6,7E-02;-0,197
FSCN1|Q16658;FSCN1;salmon;5,0E-03;6,9E-02;0,133
FGL2|Q14314;FGL2;red;5,0E-03;7,0E-02;-0,112
BCAT1|P54687-5;BCAT1;grey;5,1E-03;7,0E-02;0,123
EXT1|Q16394;EXT1;NA;5,1E-03;7,0E-02;-0,119
SLC38A6|Q8IZM9-2;SLC38A6;NA;5,4E-03;7,4E-02;-0,209
PBDC1|Q9BVG4;PBDC1;skyblue;5,4E-03;7,4E-02;0,176
ADD2|P35612;ADD2;tan;5,5E-03;7,4E-02;0,328
BDNF|P23560-4;BDNF;NA;5,6E-03;7,5E-02;-0,156
APOL1|O14791-2;APOL1;NA;5,7E-03;7,6E-02;-0,366
SST|P61278;SST;grey;5,8E-03;7,7E-02;-0,178
CPLX2|Q6PUV4;CPLX2;turquoise;5,8E-03;7,7E-02;0,150
PGP|A6NDG6;PGP;plum1;6,0E-03;7,9E-02;0,145
EFEMP2|O95967;EFEMP2;NA;6,0E-03;7,9E-02;-0,121
FCGRT|P55899;FCGRT;NA;6,2E-03;8,1E-02;-0,215
